status,product_area,response,justification,request_type
escalated,account_management,This issue requires further review. Please contact official support.,Account access issue requires human review.,product_issue
replied,general,"Recruitee HackerRank Integration Test User Guide Prerequisites Inviting candidates to a HackerRank test Viewing test results Last updated: Feb 5, 2026, 4:02 PM (Last updated 3 months ago) This guide outlines how to use the Recruitee HackerRank Integration to send HackerRank test invitations and review test results. Prerequisites Before you begin, ensure you meet the following requirements: You have active HackerRank and Recruitee accounts. The HackerRank integration with Recruitee is complete. For more information, see 📄 Recruitee HackerRank Integration Guide. Inviting candidates to a HackerRank test To invite candidates to a HackerRank test: 1. Log in to your Recruitee account using your credentials.; What happens to Candidate statuses if the cutoff score is altered? Last updated: Jun 5, 2025, 5:20 PM (Last updated 11 months ago) If the cutoff score is changed after the test report is processed, the ATS state of a candidate's test attempt will not change. The change in cutoff score will come into effect only for tests attempted after the change is made. For example, let's say that the current cutoff score is 50. Candidate A has scored 60 on the test and has been marked as ""Qualified"". If you change the cutoff score now to 70, then this will not affect the status of candidate A.",Response is grounded in the retrieved support corpus.,product_issue
escalated,general,This issue requires further review. Please contact official support.,Payment or money-related issue detected.,product_issue
escalated,billing,This issue requires further review. Please contact official support.,Payment or money-related issue detected.,bug
escalated,billing,This issue requires further review. Please contact official support.,Payment or money-related issue detected.,product_issue
escalated,general,This issue requires further review. Please contact official support.,Retrieval confidence 0.08 is below threshold 0.08.,product_issue
replied,bugs,"Notification Last updated: Jul 23, 2025, 7:12 PM (Last updated 9 months ago) HackerRank is updating its platform to simplify the user experience and reinforce its core mission: helping developers prepare and certify their skills. Impact The Home and Apply tabs will be deprecated, but the features of the Home tab remain accessible under other tabs. Where to find Home tab features The following information summarizes where you can access each Home tab feature: Mock Interviews : The Mock Interviews feature is available under the Prepare tab. You can also access it directly here. !image.png Coding challenges : All Coding challenges , such as Algorithms, Data Structures, and React, are available in the Prepare tab. !PrepareCodingQues.gif Role certification tests : Role based certification tests are accessible through the Certify tab.",Response is grounded in the retrieved support corpus.,bug
replied,general,"Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges Last updated: Jan 28, 2026, 10:08 AM (Last updated 3 months ago) Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long form coursework. Weekly Challenges support the following objectives: Provide structured opportunities for continued learning after completing badges or certifications Encourage consistent participation through a predictable weekly cadence Introduce a controlled competitive element within an organization Note: A new challenge releases every week. Challenges and leaderboards reset every Tuesday at 6:00 PM UTC. Accessing weekly challenges To access the weekly challenge: 1. Log in to you...",Response is grounded in the retrieved support corpus.,product_issue
escalated,general,This issue requires further review. Please contact official support.,Retrieval confidence 0.07 is below threshold 0.08.; Retrieval confidence 0.05 is below threshold 0.08.,product_issue
replied,feature_request,"Update Company Name and Sender Name Prerequisite Updating the company name and sender name Last updated: Dec 15, 2025, 4:22 PM (Last updated 4 months ago) You can update the company name and the sender name that appear in candidate invitation emails. Prerequisite You must have Company Admin access. Updating the company name and sender name To update the company name and sender name: 1. Log in to HackerRank for Work using your credentials. 2. Select your profile icon in the upper right corner.; Extend Test Duration for Candidates Add Time Accommodation Add extra time Last updated: Apr 22, 2026, 10:15 AM (Last updated 4 days ago) HackerRank for Work allows you to extend the test duration for candidates in two ways: Add Time Accommodation Add Extra Time This ensures that candidates have a fair opportunity to complete their tests, whether due to accessibility needs or unexpected technical issues. Add Time Accommodation The Add Time Accommodation feature allows you to extend test duration either before or after sending candidate invites, as long as the candidate has not yet started the test. Prerequisites You must have a published test in your HackerRank account. You must be the test owner or have editor access. Adding time accommodation before sending invites To add time accommodation: !addTAinvite.gif 1. Log in to your HackerRank for Work account using your credentials.; Lever V2 HackerRank Integration Guide Prerequisites Integrating Lever V2 for HackerRank tests Integrating Lever V2 for HackerRank interviews Last updated: Mar 12, 2026, 3:22 PM (Last updated 1 month ago) HackerRank integrates with Lever V2 to allow you to manage tests and interviews directly within your existing recruitment workflow. With this integration, you can: Create and schedule HackerRank Tests and Interviews directly in Lever. Sync statuses, feedback, and scorecards automatically between Lever and HackerRank. Cancel or update tests and interviews in Lever and see those changes instantly reflected in HackerRank. Note: This version replaces the 📄 Lever HackerRank Integrationand removes the need for manual webhook configurations or redirect based setup. Prerequisites Before you begin, ensure you meet the following requirements: You have admin access to your HackerRank for Work ac...; Modify Test Expiration Time Prerequisite Modifying test expiration time Last updated: Mar 10, 2026, 9:05 PM (Last updated 2 months ago) You can define a start and end time (including time zone) to control when a test remains active. Candidates can attempt the test only during the active period. After the test expires: Invited candidates cannot access the test. The Invite button is disabled. You cannot invite new candidates. Prerequisite You must have created a test.; Contact HackerRank Support Last updated: Sep 17, 2025, 10:05 PM (Last updated 7 months ago) If you need assistance with the HackerRank for Work platform, use one of the following support options: Submit a request: Select Support in the footer of the HackerRank for Work platform. Email: Send an email to support@hackerrank.com. Note: HackerRank provides separate support options for Candidates and Community users: Candidates: Email candidate care@hackerrank.com Community users: Visit the HackerRank Community Help Center \ \ \",Response is grounded in the retrieved support corpus.,feature_request
